155,27
176,51
190,24
208,50
221,20
236,47
255,23
269,48
291,26
302,53
322,33
333,59
355,40
361,68
385,50
390,77
415,63
387,197
371,314
358,319
-1,-1
373,315
385,321
390,336
387,351
377,363
366,366
356,361
-1,-1
361,336
374,333
369,335
371,344
-1,-1
369,368
368,398
374,439
357,458
335,466
306,471
281,470
265,467
266,454
264,441
254,432
241,431
231,421
230,415
271,413
296,408
315,402
310,397
319,406
-1,-1
232,415
184,414
152,409
134,399
124,389
132,363
136,335
137,325
153,336
179,341
-1,-1
135,321
133,311
142,298
158,294
185,297
209,297
221,311
237,321
256,325
280,322
296,314
309,299
316,281
319,268
-1,-1
273,266
276,266
270,266
273,263
273,269
-1,-1
321,264
314,245
304,227
282,212
256,210
232,217
218,227
207,241
202,259
202,277
209,297
-1,-1
169,263
172,263
166,263
169,260
169,266
-1,-1
212,231
200,217
178,207
155,211
138,219
124,236
117,256
119,277
128,294
137,304
-1,-1
136,220
133,210
137,199
149,193
155,28
