155,27
176,51
190,24
208,50
221,20
236,47
255,23
269,48
291,26
302,53
322,33
333,59
355,40
361,68
385,50
390,77
415,63
387,197
371,314
358,319
-1,-1
373,315
385,321
390,336
387,351
377,363
366,366
356,361
-1,-1
361,336
374,333
369,335
371,344
-1,-1
369,368
368,398
374,439
357,458
335,466
306,471
281,470
265,467
266,454
264,441
254,432
241,431
231,421
230,415
271,413
296,408
315,402
310,397
319,406
-1,-1
232,415
184,414
152,409
134,399
124,389
132,363
136,335
137,325
153,336
179,341
-1,-1
135,321
133,311
142,298
158,294
185,297
209,297
221,311
237,321
256,325
280,322
296,314
309,299
316,281
319,268
-1,-1
273,266
276,266
270,266
273,263
273,269
-1,-1
321,264
314,245
304,227
282,212
256,210
232,217
218,227
207,241
202,259
202,277
209,297
-1,-1
169,263
172,263
166,263
169,260
169,266
-1,-1
212,231
200,217
178,207
155,211
138,219
124,236
117,256
119,277
128,294
137,304
-1,-1
136,220
133,210
137,199
149,193
155,28
-1,-1
89,569
120,570
90,570
91,593
119,594
90,593
90,622
121,621
-1,-1
135,622
157,571
177,619
172,606
141,606
-1,-1
180,570
224,569
203,570
203,623
-1,-1
288,623
289,569
310,609
331,568
334,620
-1,-1
349,567
371,593
391,571
371,595
369,624
-1,-1
121,665
101,663
85,673
94,686
112,690
119,701
108,718
83,712
-1,-1
140,663
142,715
142,690
176,688
177,663
178,713
-1,-1
199,678
198,695
205,713
224,716
237,710
244,693
240,670
227,663
210,664
199,677
-1,-1
264,713
263,663
282,663
295,675
289,686
277,689
261,689
282,689
294,700
300,716
-1,-1
304,663
348,663
326,664
327,714
-1,-1
391,664
377,663
363,666
361,679
375,689
389,693
390,710
375,717
358,713
-1,-1
155,27
